index,SEASON,DATE_TIME,TEAM_HOME,TEAM_AWAY,FTG_HOME,FTG_AWAY,HTG_HOME,HTG_AWAY
140,2017/2017,23/7/2017,PERSIBA BALIKPAPAN,PERSELA LAMONGAN,2.0,2.0,1.0,1.0
141,2017/2017,23/7/2017,BALI UNITED,PSM MAKASSAR,3.0,0.0,0.0,0.0
142,2017/2017,24/7/2017,GRESIK UNITED,SRIWIJAYA FC,1.0,1.0,1.0,0.0
143,2017/2017,28/7/2017,PERSELA LAMONGAN,PS BARITO PUTERA,3.0,2.0,2.0,1.0
144,2017/2017,28/7/2017,MITRA KUKAR,PERSIBA BALIKPAPAN,2.0,2.0,0.0,0.0
145,2017/2017,29/7/2017,PERSERU SERUI,PERSIB BANDUNG,2.0,1.0,0.0,0.0
146,2017/2017,29/7/2017,MADURA UNITED,PSM MAKASSAR,1.0,0.0,0.0,0.0
147,2017/2017,29/7/2017,PERSIJA JAKARTA,BHAYANGKARA FC,1.0,0.0,0.0,0.0
148,2017/2017,30/7/2017,SRIWIJAYA FC,PERSIPURA JAYAPURA,2.0,2.0,0.0,1.0
149,2017/2017,30/7/2017,AREMA FC,BORNEO FC,0.0,0.0,0.0,0.0
150,2017/2017,30/7/2017,PERSIKABO 1973,SEMEN PADANG,2.0,1.0,2.0,0.0
151,2017/2017,31/7/2017,GRESIK UNITED,BALI UNITED,1.0,3.0,0.0,1.0
152,2017/2017,2/8/2017,SRIWIJAYA FC,PERSERU SERUI,0.0,0.0,0.0,0.0
153,2017/2017,4/8/2017,MADURA UNITED,PERSELA LAMONGAN,2.0,1.0,1.0,1.0
154,2017/2017,4/8/2017,BHAYANGKARA FC,AREMA FC,2.0,1.0,1.0,1.0
155,2017/2017,5/8/2017,BORNEO FC,SRIWIJAYA FC,0.0,1.0,0.0,0.0
156,2017/2017,5/8/2017,SEMEN PADANG,GRESIK UNITED,4.0,1.0,1.0,1.0
157,2017/2017,5/8/2017,PERSIB BANDUNG,PERSIKABO 1973,3.0,1.0,2.0,0.0
158,2017/2017,6/8/2017,PERSIBA BALIKPAPAN,PERSERU SERUI,2.0,1.0,2.0,1.0
159,2017/2017,6/8/2017,PS BARITO PUTERA,PERSIJA JAKARTA,1.0,0.0,0.0,0.0
160,2017/2017,7/8/2017,PSM MAKASSAR,MITRA KUKAR,1.0,0.0,0.0,0.0
161,2017/2017,9/8/2017,PERSIPURA JAYAPURA,BALI UNITED,3.0,1.0,2.0,0.0
162,2017/2017,11/8/2017,MITRA KUKAR,PS BARITO PUTERA,3.0,2.0,1.0,1.0
163,2017/2017,11/8/2017,SRIWIJAYA FC,SEMEN PADANG,0.0,0.0,0.0,0.0
164,2017/2017,12/8/2017,PERSIJA JAKARTA,PERSIBA BALIKPAPAN,2.0,0.0,1.0,0.0
165,2017/2017,12/8/2017,AREMA FC,PERSIB BANDUNG,0.0,0.0,0.0,0.0
